name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source
Greater Channel Smite,General,"You empower your weapon with the might of your deity, which you discharge as you strike your foes.","Channel energy class feature, Channel Smite, base attack bonus +8.",Channel Smite,"Before making any melee attacks on your turn, you can use a swift action to expend one daily use of your channel energy class feature. The dice from your channel energy feature form a pool of damage dice you can access to further damage creatures normally harmed by the energy you are channeling-undead for positive energy, living creatures for negative energy. Prior to making each melee attack, allocate dice from the pool to be used as extra damage dice if you hit. Your target can make a Will save, as normal, to halve this extra damage. This extra damage is not multiplied when you score a critical hit. If you miss, the extra damage dice remain in your pool, but any dice left unexpended at the end of your turn are wasted.",,,Ultimate Combat
Greater Rending Fury,Combat,"When your claws latch on to an opponent, the effect is bloody and horrific.","Improved Rending Fury, Rending Fury, base attack bonus +12, rend special attack.","Improved Rending Fury, Rending Fury","Whenever you rend an opponent, you deal 1d6 bleed damage to that opponent. This is an addition to the effects of the rend.",,,Ultimate Combat
Greater Snap Shot,Combat,"You can prey on any gap in your foe's guard with impunity, and with even greater range.","Dex 17, Improved Snap Shot, Point-Blank Shot, Rapid Shot, Snap Shot, base attack bonus +12.","Improved Snap Shot, Point-Blank Shot, Rapid Shot, Snap Shot","Whenever you make an attack of opportunity using a ranged weapon and hit, you gain a +2 bonus on the damage roll and a +2 bonus on rolls to confirm a critical hit with that attack. These bonuses increase to +4 when you have base attack bonus +16, and to +6 when you have base attack bonus +20.",,,Ultimate Combat
Greater Whip Mastery,Combat,You can use a whip to make combat maneuvers with ease.,"Improved Whip Mastery, Weapon Focus (whip), Whip Mastery, base attack bonus +8.","Improved Whip Mastery, Weapon Focus (whip), Whip Mastery","You are so quick with your whip that you never drop it due to a failed disarm or trip combat maneuver attempt. Further, you gain the ability to grapple using your whip. To do so, use the normal grapple rules with the following changes. Attack: You cannot use your whip to attack while you are using it to grapple an opponent. Damage: When dealing damage to your grappled opponent, you deal your whip's weapon damage rather than your unarmed strike damage. Free Hands: You take no penalty on your combat maneuver check for having fewer than two hands free when you use your whip to grapple. Reach: Rather than pulling your grappled opponent adjacent to you when you successfully grapple and when you move the grapple, you must keep him within your whip's reach minus his own reach to maintain the grapple. If the difference in reach is less than 0, such as is the case for a Medium whip wielder and a Gargantuan creature, you cannot grapple that opponent with your whip. If you have to pull a creature adjacent to you to grapple it with your whip, you still provoke an attack of opportunity from that opponent unless you have the Improved Grapple feat. Tie Up: While adjacent to your opponent, you can attempt to use your whip to tie him up. If you do so to an opponent you have grappled rather than pinned, you take only a -5 penalty on the combat maneuver check rather than the normal -10.",,,Ultimate Combat
Guided Hand,General,Your deity blesses any strike you make with that deity's favored weapon.,"Channel energy class feature, Channel Smite, proficiency with your deity's favored weapon.",Channel Smite,"With your deity's favored weapon, you can use your Wisdom modifier instead of your Strength or Dexterity modifier on attack rolls.",,,Ultimate Combat
Gunsmithing,General,You know the secrets of repairing and restoring firearms.,,,"If you have access to a gunsmith's kit, you can create and restore firearms, craft bullets, and mix black powder for all types of firearms. You do not need to make a Craft check to create firearms and ammunition or to restore firearms. Crafting Firearms: You can craft any early firearm for a cost in raw materials equal to half the price of the firearm. At your GM's discretion, you can craft advanced firearms for a cost in raw materials equal to half the price of the firearm. Crafting a firearm in this way takes 1 day of work for every 1,000 gp of the firearm's price (minimum 1 day). Crafting Ammunition: You can craft bullets, pellets, and black powder for a cost in raw materials equal to 10% of the price. If you have at least 1 rank in Craft (alchemy), you can craft alchemical cartridges for a cost in raw materials equal to half the price of the cartridge. At your GM's discretion, you can craft metal cartridges for a cost in raw materials equal to half the cost of the cartridge. Crafting bullets, black powder, or cartridges takes 1 day of work for every 1,000 gp of ammunition (minimum 1 day). Restoring a Broken Firearm: Each day, with an hour's worth of work, you can use this feat to repair a single firearm with the broken condition. You can take time during a rest period to restore a broken firearm with this feat.",,"If you are a gunslinger, this feat grants the following additional benefit. You can use this feat to repair and restore your initial, battered weapon. It costs 300 gp and 1 day of work to upgrade it to a masterwork firearm of its type.",Ultimate Combat
Hammer the Gap,Combat,"You repeatedly strike the same location, causing increasing amounts of damage.",Base attack bonus +6.,,"When you take a full-attack action, each consecutive hit against the same opponent deals extra damage equal to the number of previous consecutive hits you have made against that opponent this turn. This damage is multiplied on a critical hit.",,,Ultimate Combat
Harmonic Sage,General,Your thorough understanding of acoustics in artificial surroundings allows you to improve the power of your bardic performance.,"Bardic performance class feature, Knowledge (engineering) 5 ranks.",,"While inside an artif icial structure, you can spend a free action to make a DC 15 Knowledge (engineering) check when you begin your bardic performance. Success on this check allows you to do one of the following. Self-Harmonize: By performing over the acoustic reverberations of your performance, you increase the DC of your bardic performance effects +1. Reverberation: You can choose to have the effect of your current bardic performance continue for 1 round after you cease maintaining it, regardless of why you cease maintaining it. You can still have no more than one bardic performance in effect at one time.",A bardic performance lasts only as long as you maintain it.,,Ultimate Combat
Haunted Gnome,Combat,You use your gnome magic to take on an eerie illusory appearance.,"Cha 13, gnome magic racial trait, Knowledge (arcana) 1 rank.",,"You add haunted fey aspect (page 230) to your list of gnome magic spell-like abilities, and you can use this spell-like ability twice per day.",,,Ultimate Combat
Haunted Gnome Assault,Combat,"Discharging your disturbing glamer as you strike a telling blow, you haunt a foe with lingering fear.","Cha 13, gnome magic racial trait, Haunted Gnome, Knowledge (arcana) 3 ranks.",Haunted Gnome,"You gain one use of your gnome magic that is independent of your gnome magic spell-like abilities. When you wish to cast a gnome magic spell-like ability for which you have no daily uses remaining, you can expend this independent use to do so. Further, while you are under the effect of haunted fey aspect (page 230), you can discharge that spell as a free action after you hit an opponent with a charge attack or score a critical hit against an opponent. If you do, that opponent becomes shaken for 1 round.",,,Ultimate Combat
Haunted Gnome Shroud,Combat,Your disturbing glamer expands to make your exact location hard to pinpoint.,"Cha 13, gnome magic racial trait, Haunted Gnome, Haunted Gnome Assault, Knowledge (arcana) 6 ranks.","Haunted Gnome, Haunted Gnome Assault","You gain another independent use of your gnome magic like that which Haunted Gnome Assault grants. Further, while you are under the effect of haunted fey aspect, you also have concealment (20% miss chance) against an opponent until that opponent deals you damage.",,,Ultimate Combat
Hero's Display,Combat,"With a dramatic flourish you display your weapons to the crowd. Onlookers are elated, and your enemies are demoralized.","Dazzling Display, Weapon Focus, and proficiency with the selected weapon.","Dazzling Display, Weapon Focus","When you spend a swift action to make a performance combat check, you present the weapon in which you have Weapon Focus in a triumphant display. You gain a +2 bonus on the performance combat check and make an Intimidate check to demoralize all foes within 30 feet who can see your display.",,,Ultimate Combat
Hex Strike,Combat,"Chanting and cursing, you put a hex on your enemy as part of your unarmed strike.","Hex class feature, Improved Unarmed Strike.",Improved Unarmed Strike,"When you gain this feat, choose one hex that you can use to affect no more than one opponent. If you make a successful unarmed strike against an opponent, in addition to dealing your unarmed strike damage, you can use a swift action to deliver the effects of the chosen hex to that opponent. Doing so does not provoke attacks of opportunity.",,"You can take this feat multiple times. Each time you take it, you apply it to a different qualifying hex.",Ultimate Combat
Horse Master,Combat,You blend horsemanship skills from disparate traditions into a seamless mounted combat technique.,"Expert trainer class feature (Advanced Player's Guide 33), Ride 6 ranks.",,Use your character level to determine your effective druid level for determining the powers and abilities of your mount.,You use your cavalier level to determine your effective druid level for determining the powers and abilities of your mount.,,Ultimate Combat
Impact Critical Shot,Combat,"With a series of ranged attacks, you bring your foes to their knees or force them to move.","Dex 13, Point-Blank Shot, base attack bonus +9.",Point-Blank Shot,"Whenever you score a critical hit with a ranged attack, in addition to the normal damage your attack deals, if your confirmation roll exceeds your opponent's CMD, you can push your opponent back as if from the bull rush combat maneuver or knock that target prone as if from a trip combat maneuver. If you choose to bull rush, you cannot move with the target. Your maneuver does not provoke an attack of opportunity.","You must perform a bull rush combat maneuver to bull rush an opponent, and you must perform a trip combat maneuver to trip an opponent.",,Ultimate Combat
Impaling Critical,Combat,Your critical hits can skewer your foes.,"Critical Focus, Weapon Specialization with selected piercing melee weapon, base attack bonus +11.","Critical Focus, Weapon Specialization","Whenever you score a critical hit with the selected piercing melee weapon, you can impale your opponent on your weapon. While your opponent is impaled in this way, each time he starts his turn, you deal damage equal to your weapon's damage dice plus the extra damage dice from your weapon's properties. As an immediate action, you can pull your weapon out of your opponent. If your opponent is ever outside your reach, you must spend a free action to let go of your weapon or pull it out of him. Your opponent can also spend a move action to pull your weapon out. When the weapon comes out, your opponent takes damage as if starting his turn impaled. While you impale your opponent with your weapon, you cannot use it to attack, and you must hold on to it.",,,Ultimate Combat
Improved Back to Back,General,"After much practice, you and an ally have become adept at fighting in close proximity to one another.","Back to Back, Perception 5 ranks.",Back to Back,"While you are adjacent to an ally who is flanked and also has this feat, you can spend a swift action to gain a +2 bonus to AC against all flankers until the start of your next turn.",,,Ultimate Combat
Improved Charging Hurler,Combat,Every muscle in your body adds its force to your thrown weapons.,"Charging Hurler, Point-Blank Shot.","Charging Hurler, Point-Blank Shot","When you use Charging Hurler, your target can be at any range up to your weapon's maximum range. If your target is within 30 feet, you gain a +2 bonus on damage rolls.",Using Charging Hurler requires you to end your movement within 30 feet of your opponent.,,Ultimate Combat
Improved Cleaving Finish,Combat,You can cut down many opponents in a single strike.,"Str 13, Cleave, Cleaving Finish, Great Cleave, Power Attack, base attack bonus +6.","Cleave, Cleaving Finish, Great Cleave, Power Attack",You can use Cleaving Finish any number of times per round.,,,Ultimate Combat
Improved Devastating Strike,Combat,The fury and power channeled through your attack is enough to kill a lesser being outright.,"Devastating Strike, Vital Strike, base attack bonus +13.","Devastating Strike, Vital Strike","Whenever you use Vital Strike, Improved Vital Strike, or Greater Vital Strike, you gain a bonus on attack rolls to confirm a critical hit equal to the bonus on damage rolls you gain from Devastating Strike.",,,Ultimate Combat
Improved Feint Partner,Combat,Knowledge of your companions' tricks and techniques allow you to take even greater advantage of your allies' feints.,"Bluff 1 rank, Combat Reflexes, Feint Partner, base attack bonus +6.","Combat Reflexes, Feint Partner","Whenever an ally who also has this feat successfully feints against an opponent, that opponent provokes an attack of opportunity from you.",,,Ultimate Combat
Improved Impaling Critical,Combat,"When you impale a target, you hinder its movement and can cause severe bleeding.","Impaling Critical, Critical Focus, Weapon Specialization with selected piercing melee weapon, base attack bonus +13.","Impaling Critical, Critical Focus, Weapon Specialization","While you are using Impaling Critical to impale an opponent, and you are still holding onto that weapon, that opponent must succeed at a grapple combat maneuver check against you to pull your weapon out. If you have let go of your weapon, the impaled opponent must spend a standard action to remove the weapon. Until the opponent pulls the weapon out, his speed in all modes is halved and his maneuverability, if any, is reduced by one step. When the weapon comes out, instead of dealing the damage normal for Impaling Critical, you can deal bleed damage equal to your weapon's damage dice result once per round at the start of that opponent's turn.",,,Ultimate Combat
Improved Rending Fury,Combat,"Honing the deadliness of your claws, you are a living hurricane of rending fury.","Rending Fury, base attack bonus +9, rend special attack.",Rending Fury,"Whenever you successfully rend an opponent, you deal an extra 1d6 damage. This damage is not multiplied on a critical hit.",,,Ultimate Combat
Improved Snap Shot,Combat,"You can take advantage of your opponent's vulnerabilities from a greater distance, and without exposing yourself.","Dex 15, Point-Blank Shot, Rapid Shot, Snap Shot, Weapon Focus, base attack bonus +9.","Point-Blank Shot, Rapid Shot, Snap Shot, Weapon Focus",You threaten an additional 10 feet with Snap Shot.,Making a ranged attack provokes attacks of opportunity.,,Ultimate Combat
Improved Stalwart,General,You can roll with the punches while simultaneously striking back at your attackers.,"Diehard, Endurance, Stalwart, base attack bonus +11.","Diehard, Endurance, Stalwart","Double the DR you gain from Stalwart, to a maximum of DR 10/-.",,,Ultimate Combat
Improved Two-Weapon Feint,Combat,"Your primary weapon keeps a foe off balance, allowing you to slip your off-hand weapon past his defenses.","Dex 17, Int 13, Combat Expertise, Improved Two-Weapon Fighting, Two-Weapon Fighting, base attack bonus +6.","Combat Expertise, Improved Two-Weapon Fighting, Two-Weapon Fighting","While using Two-Weapon Fighting to make melee attacks, you can forgo your first primary-hand melee attack to make a Bluff check to feint an opponent. If you successfully feint, that opponent is denied his Dexterity bonus to AC until the end of your turn.",,,Ultimate Combat
Improved Whip Mastery,Combat,You are able to entangle opponents with the coils of your whip.,"Weapon Focus (whip), Whip Mastery, base attack bonus +5.","Weapon Focus (whip), Whip Mastery","While wielding a whip, you threaten the area of your natural reach plus 5 feet. You can also use a whip to grasp an unattended Small or Tiny object within your whip's reach and pull that object into your square. To do so, you must hit AC 10 with a melee touch attack. Further, you can use the whip to grasp onto an object within your whip's reach, using 5 feet of your whip as if it were a grappling hook, allowing you to use the rest of your whip to swing on like a rope. As a free action, you can release the object your whip is grasping, but you cannot use the whip to attack while the whip is grasping an object.",,,Ultimate Combat
Instant Judgment,General,Your hastiest condemnations can have power.,Second judgment class feature.,,You can spend an immediate action to pronounce a judgment or change an active judgment.,Pronouncing or changing a judgment requires a swift action.,,Ultimate Combat
Intimidating Bane,General,Your bane weapon strikes fear into your enemies.,"Bane class feature, Dazzling Display, Weapon Focus, character level 8th.","Dazzling Display, Weapon Focus","Whenever you use Dazzling Display while your bane feature is active, you gain a +2 bonus on the Intimidate check that Dazzling Display allows against creatures of the type your bane weapon currently affects. Such creatures remain shaken while your bane feature is still active and effective against their creature type.",,,Ultimate Combat
Janni Rush,Combat,"When you leap to the attack, your blows are like bolts from on high.","Improved Unarmed Strike, Janni Style, Janni Tempest, Acrobatics 8 ranks, Perform (dance) 8 ranks.","Improved Unarmed Strike, Janni Style, Janni Tempest","While using Janni Style, you are always considered to have a running start when jumping. Further, if you jump as part of a charge and make an unarmed strike against the designated opponent, a hit allows you to roll the unarmed strike's damage dice twice and add the results together before adding modifiers (such as from Strength) or extra dice (such as precision-based damage or dice from weapon abilities). The extra damage dice are not multiplied on a successful critical hit.",,,Ultimate Combat
Janni Style,Combat,Your whirling fighting technique makes you difficult to hit.,"Improved Unarmed Strike, Acrobatics 3 ranks, Perform (dance) 3 ranks.",Improved Unarmed Strike,"While using this style, you take only a -1 penalty to AC for charging. Further, opponents that flank you gain only a +1 bonus on attack rolls against you.",,,Ultimate Combat
Janni Tempest,Combat,Your gale of attacks easily throws your opponents off balance.,"Improved Unarmed Strike, Janni Style, Acrobatics 5 ranks, Perform (dance) 5 ranks.","Improved Unarmed Strike, Janni Style","While you are using the Janni Style feat, whenever you make an unarmed attack and hit an opponent, you gain a +4 bonus on checks made to bull rush or trip that opponent, as long as the combat maneuver is your next attack by the end of your turn. You do not provoke an attack of opportunity from the target of the maneuver.",,,Ultimate Combat
Jawbreaker,Combat,"You deliver a powerful strike to the mouth, breaking teeth and bone.","Improved Unarmed Strike, Stunning Fist, Heal 6 ranks.","Improved Unarmed Strike, Stunning Fist","When you make a successful Stunning Fist attempt against an opponent that is grappled, helpless, or stunned, instead of imparting any other Stunning Fist effect, you can cripple that opponent's mouth, dealing normal unarmed strike damage and 1d4 points of bleed damage. Until the bleed damage ends, the target is unable to use its mouth to attack, speak clearly, and employ verbal spell components. A creature that is immune to critical hits or that has no discernible mouth is immune to the effects of this feat.",,,Ultimate Combat
Kirin Path,Combat,You turn knowledge of your enemy into a flawless defense.,"Int 13, Kirin Strike, Kirin Style, Improved Unarmed Strike, Knowledge (arcana) 12 ranks, Knowledge (dungeoneering, local, nature, planes, or religion) 5 ranks.","Kirin Strike, Kirin Style, Improved Unarmed Strike","Whenever you make a Knowledge check to identify a creature, even when using Kirin Style, you can take 10 even if stress and distractions would normally prevent you from doing so. While using Kirin Style against a creature you have identified using that feat, if the creature ends its turn within your threatened area, you can spend a use of your attacks of opportunity that round to move up to 5 feet times your Intelligence modifier (minimum 1). You must end your move in a square threatened by the creature. This move does not provoke attacks of opportunity.",,,Ultimate Combat
Kirin Strike,Combat,"You have read the texts of the perfect way, and know how identify to your enemies' weak spot.","Int 13, Kirin Style, Improved Unarmed Strike, Knowledge (arcana) 9 ranks, Knowledge (dungeoneering, local, nature, planes, or religion) 3 ranks.","Kirin Style, Improved Unarmed Strike","You gain a +2 insight bonus on Knowledge checks made to identify creatures, including the one Kirin Style allows. While using Kirin Style against a creature you have identified using that feat, as a swift action after you have hit a creature with a melee or ranged attack, you can add twice your Intelligence modifier in damage (minimum 2).",,,Ultimate Combat
Kirin Style,Combat,Your study and your grace allows you to exploit your enemies' weaknesses.,"Improved Unarmed Strike, Knowledge (arcana) 6 ranks, Knowledge (dungeoneering, local, nature, planes, or religion) 1 rank.",Improved Unarmed Strike,"While using this style, you can spend a swift action to make a Knowledge check to identify a single creature (DC 15 + the creature's CR for this purpose). If you succeed at the check, while using this style, you gain a +2 bonus on saving throws against that creature's attacks, as well as a +2 dodge bonus to AC against that creature's attacks of opportunity. These bonuses last for as long as you use this style. If you cease combat with the creature during this time and resume it later, you can attempt the check again.",,,Ultimate Combat
Knockout Artist,General,You can throw devastating knockout punches.,"Sneak attack class feature, Improved Unarmed Strike.",Improved Unarmed Strike,"When you use your unarmed strike to deal nonlethal damage and sneak attack damage to an opponent denied his Dexterity bonus to AC, you gain a +1 bonus on the damage roll per each sneak attack damage die you roll.",,,Ultimate Combat
Landing Roll,Combat,You have learned the technique of rolling safely away when an enemy trips you.,"Dex 13, Dodge, Mobility.","Dodge, Mobility","If you are tripped, you can spend an immediate action to move 5 feet without provoking an attack of opportunity. This does not count as taking a 5-foot step. You fall prone after this movement.",,,Ultimate Combat
Leaping Shot Deed,General,"You leap through the air, guns blazing.","Dex 13, grit class feature or Amateur Gunslinger feat, Dodge, Mobility, base attack bonus +4.","Dodge, Mobility","You gain a +2 bonus on Acrobatics checks made to jump. As a full-round action, you can move up to your speed and make firearm attacks at your highest base attack bonus with each loaded firearm you are wielding. You can make these attacks at any point during your movement, and if you are wielding two firearms, you can make the attacks at different points during the movement. At the end of this movement, you fall prone. This deed costs 1 grit point to perform.",,,Ultimate Combat
Mantis Style,Combat,You have learned to target vital areas with crippling accuracy.,"Improved Unarmed Strike, Stunning Fist, Heal 3 ranks.","Improved Unarmed Strike, Stunning Fist","You gain one additional Stunning Fist attempt per day. While using this style, you gain a +2 bonus to the DC of effects you deliver with your Stunning Fist.",,,Ultimate Combat
Mantis Torment,Combat,Your knowledge of the mysteries of anatomy allows you to cause debilitating pain with a simple touch.,"Heal 9 ranks, Improved Unarmed Strike, Mantis Style, Mantis Wisdom, Stunning Fist.","Improved Unarmed Strike, Mantis Style, Mantis Wisdom, Stunning Fist","You gain one additional Stunning Fist attempt per day. While using Mantis Style, you make an unarmed attack that expends two daily attempts of your Stunning Fist. If you hit, your opponent must succeed at a saving throw against your Stunning Fist or become dazzled and staggered with crippling pain until the start of your next turn, and at that point the opponent becomes fatigued.",,,Ultimate Combat
Mantis Wisdom,Combat,Your knowledge of vital areas allows you to land debilitating strikes with precision.,"Improved Unarmed Strike, Mantis Style, Stunning Fist, Heal 6 ranks.","Improved Unarmed Strike, Mantis Style, Stunning Fist","Treat half your levels in classes other than monk as monk levels for determining effects you can apply to a target of your Stunning Fist per the Stunning Fist monk class feature. You can also use a standard action and a successful melee touch attack to remove any Stunning Fist effect you have applied to a target. While using Mantis Style, you gain a +2 bonus on unarmed attack rolls with which you are using Stunning Fist attempts.",,,Ultimate Combat
Marid Coldsnap,Combat,"You can summon a torrent of water to blast your enemies, chilling them to the bone.","Con 15, Wis 17, Elemental Fist**, Marid Spirit, Marid Style, Improved Unarmed Strike, base attack bonus +13 or monk level 11th.","Elemental Fist, Marid Spirit, Marid Style, Improved Unarmed Strike","While using Marid Style, as a standard action, you can spend two Elemental Fist (Advanced Player's Guide 158) attempts to unleash a 30-foot line of frigid water. Creatures caught in the line take your unarmed strike damage plus the cold damage from your Elemental Fist attack and are entangled in ice as per the Marid Spirit feat. A successful Ref lex save (DC 10 + 1/2 your character level + your Wis modifier) reduces the damage by half and prevents a target from becoming entangled.",,,Ultimate Combat
Marid Spirit,Combat,You can manipulate cold energy to protect yourself and freeze your foes.,"Con 15, Wis 15, Elemental Fist**, Marid Style, Improved Unarmed Strike, base attack bonus +11 or monk level 9th.","Elemental Fist, Marid Style, Improved Unarmed Strike","You gain one additional Elemental Fist (Advanced Player's Guide 158) attempt per day. While using Marid Style, you gain cold resistance equal to your base attack bonus, or monk level plus base attack bonus gained from levels in classes other than monk, whichever is higher. While denied your Dexterity bonus to AC you are also denied this resistance. Creatures that take cold damage from your Elemental Fist attack must succeed at a Fortitude save (DC 10 + 1/2 your character level + your Wis modif ier) or become entangled in ice for 1d4 rounds. The ice has hit points equal to three times your base attack bonus or monk level, whichever is higher, and a break DC of 15 + your base attack bonus or monk level, whichever is higher. Destroying or breaking the ice ends the entangled condition.",,,Ultimate Combat
Marid Style,Combat,You conjure tendrils of icy water to strike your enemies from a distance.,"Con 13, Wis 15, Elemental Fist**, Improved Unarmed Strike, base attack bonus +9 or monk level 5th.","Elemental Fist, Improved Unarmed Strike","You gain one additional Elemental Fist (Advanced Player's Guide 158) attempt per day. While using this style and Elemental Fist to deal cold damage, you gain a bonus on cold damage rolls equal to your Wisdom modifier, and your reach with your unarmed strike increases by 5 feet.",,,Ultimate Combat
Master Combat Performer,Combat,You are a master of the techniques and weapons of the arena and the stage.,"Performing Combatant or at least three performance feats, base attack bonus +6.",,You can make performance combat checks as a free action. You are proficient in all weapons with the performance special quality.,,,Ultimate Combat
Master Siege Engineer,Combat,"You are significantly faster at loading a siege engine, as well as a better shot.","Siege Weapon Engineer, Knowledge (engineering) 10 ranks.",Siege Weapon Engineer,"If you are the crew lead on a siege engine, your crew can use move actions to load a siege engine. When you spend actions to aim a siege engine, you and your crew can use move actions instead of full-round actions to aim the siege engine (page 160).",Full-round actions are required to load and aim siege engines.,,Ultimate Combat
Masterful Display,Combat,You craft a special victory performance that causes the crowd to go wild.,"Dazzling Display, any two performance feats.",,"Choose the effects of any two performance feats you have. When you make a performance combat check, you gain the benefits of those two feats, but you only gain a +2 bonus on the performance combat check.",,,Ultimate Combat
Maximized Spellstrike,General,You deal brutal damage against opponents caught unawares.,"Maximized magic magus arcana, weapon expertise class feature or Quick Draw.",,"When you make a melee attack and successfully use your spellstrike ability against an opponent denied his Dexterity bonus to AC, you can spend 3 points from your arcane pool to maximize the spell delivered through your spellstrike as if using the Maximize Spell metamagic feat.",,,Ultimate Combat
Menacing Bane,General,You are deadly when you team up with allies against a single foe.,Bane class feature.,,You can use your bane class feature to imbue a melee weapon with the menacing special weapon ability (Advanced Player's Guide 288) instead of bane. You can spend a swift action to switch between the two special weapon abilities. Doing so otherwise works according to your bane class feature.,,"If you have the Double Bane feat, you can imbue each weapon you wield with either bane or menacing. No single weapon can have both.",Ultimate Combat
Merciful Bane,General,You can use your bane ability to inf lict nonlethal damage.,Bane class feature.,,"While a weapon you wield is under the effect of your bane class feature, you can spend a swift action to switch between dealing lethal or nonlethal damage with bane. While your bane effect allows you to deal nonlethal damage in this way, you take no penalty on your attack roll for using a lethal weapon to deal nonlethal damage.","When using a lethal weapon to deal nonlethal damage, you take a -4 penalty on attack rolls.",,Ultimate Combat
Mocking Dance,Combat,You do a little dance that mocks your foe and entertains the crowd.,Acrobatics 4 ranks or Perform (dance) 4 ranks.,,"When you spend a swift action to make a performance combat check, before making that check you can either move 5 feet without provoking attacks of opportunity, or you can move your speed and provoke attacks of opportunity. You cannot end this move in a space where you threaten an enemy. If you do move at least 5 feet, you gain a +2 bonus on the performance combat check.",,,Ultimate Combat
Monastic Legacy,Combat,Your formal unarmed training continues to bolster your training in other areas.,"Still mind class feature, Improved Unarmed Strike.",Improved Unarmed Strike,Add half the levels you have in classes other than monk to your monk level to determine your effective monk level for your base unarmed strike damage. This feat does not make levels in classes other than monk count toward any other monk class features.,,,Ultimate Combat
Monkey Moves,Combat,"You scramble around your foes, moving and striking in an erratic fashion.","Wis 13, Improved Unarmed Strike, Monkey Style, Acrobatics 8 ranks, Climb 8 ranks.","Improved Unarmed Strike, Monkey Style","While using Monkey Style, you gain a Wisdom bonus on Climb checks. You can also can climb and crawl at half your speed; you can take a 5-foot step by jumping, crawling, or climbing; and you retain your Dexterity bonus to AC while climbing. Further, while using Monkey Style, when you use your unarmed strike to hit an opponent twice or more on your turn, you can spend a swift action to take a 5-foot step even if you have moved this round.","You climb at one-quarter your speed, and you lose your Dexterity bonus to AC while doing so. A 5-foot step is made using your normal movement modes, and you can take one only if you have not otherwise moved this round.",,Ultimate Combat
Monkey Shine,Combat,You combine acrobatics and opportunity to devastating effect against your opponent.,"Wis 13, Improved Unarmed Strike, Monkey Moves, Monkey Style, Stunning Fist, Acrobatics 11 ranks, Climb 11 ranks.","Improved Unarmed Strike, Monkey Moves, Monkey Style, Stunning Fist","While using Monkey Style, if you successfully deliver a Stunning Fist attempt, in addition to the normal effect of Stunning Fist, you can spend a free action to enter a square adjacent to you that is within your opponent's space. This movement does not provoke attacks of opportunity. While you are in your opponent's space, you gain a +4 dodge bonus to AC and a +4 bonus on melee attack rolls against that opponent. If otherwise unhindered, the opponent can move away from you, but if he does, he provokes an attack of opportunity from you even if his choice of movement does not normally do so.",You cannot enter an opponent's space.,,Ultimate Combat
Monkey Style,Combat,"Your unarmed fighting style is nimble and unpredictable, full of ground rolls and short leaps.","Wis 13, Improved Unarmed Strike, Acrobatics 5 ranks, Climb 5 ranks.",Improved Unarmed Strike,"You add your Wisdom bonus on Acrobatics checks. While using this style, you take no penalty on melee attack rolls or to AC while prone. Further, you can crawl and stand up from lying prone without provoking attacks of opportunity, and you can stand up as a swift action if you succeed at a DC 20 Acrobatics check.",You take a -4 penalty on attack rolls and AC against melee attacks while prone. Standing up is a standard action that provokes attacks of opportunity.,,Ultimate Combat
Moonlight Stalker,Combat,You are adept at using shadows to conceal your attacks.,"Int 13, Blind-Fight, Combat Expertise, Bluff 3 ranks, darkvision or low-light vision racial trait.","Blind-Fight, Combat Expertise","While you have concealment from an opponent, you gain a +2 bonus on attack and damage rolls against that opponent.",,,Ultimate Combat
Moonlight Stalker Feint,Combat,You strike through the shadows so quickly that your opponent can barely react to your attacks.,"Int 13, Blind-Fight, Combat Expertise, Moonlight Stalker, Bluff 6 ranks, darkvision or lowlight vision racial trait.","Blind-Fight, Combat Expertise, Moonlight Stalker","Once per round, against an opponent from whom you have concealment, you can spend a swift action to make a Bluff check to feint.",Feinting is a standard action.,,Ultimate Combat
Moonlight Stalker Master,Combat,You leave your opponents swinging at shadows while you slide elusively through the darkness.,"Int 13, Blind-Fight, Combat Expertise, Improved Feint, Moonlight Stalker, Moonlight Stalker Feint, Bluff 9 ranks, darkvision or low-light vision racial trait.","Blind-Fight, Combat Expertise, Improved Feint, Moonlight Stalker, Moonlight Stalker Feint","While you have concealment, your opponents' miss chance against you increases by 10%. If an opponent misses you due to your concealment, you can spend an immediate action to move 5 feet, this movement does not provoke attacks of opportunity and does not count as a 5-foot step.",,,Ultimate Combat
Murderer's Circle,Combat,"After savaging your foe, you circle like a hunter ready for the kill.","Dodge, Acrobatics 4 ranks.",Dodge,"When you spend a swift action to make a performance combat check after scoring a critical hit or performing a combat maneuver, and you are adjacent to the target of the critical hit or combat maneuver, you can move to any other space that is adjacent to the target without provoking attacks of opportunity. You must have a clear path to that space and the ability to reach it by spending a move action. If you end this move in any space other than the one where you started, you gain a +2 bonus on the performance combat check.",,,Ultimate Combat
Neckbreaker,Combat,"With a quick jerk, you snap an enemy's neck.","Bonebreaker, Greater Grapple, Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist, Heal 12 ranks.","Bonebreaker, Greater Grapple, Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist","If you have an opponent your size or smaller helpless or pinned, after you initiate or maintain a grapple, you can make a Stunning Fist attempt at a -5 penalty on the attack roll. If you succeed, you wrench that opponent's neck, dealing 2d6 Strength or Dexterity damage. If the targeted ability score is reduced to 0, any remaining damage is dealt to that opponent's Constitution score. A creature that is immune to critical hits or that has no discernible head and neck is immune to the effects of this feat.",,,Ultimate Combat
